model,experiment,region_name,horizon,n,MAE,RMSE,MASE,sMAPE,modell
timesfm_wx,WX,Södermanlands län,3,45.0,122.37587076822916,157.99667075458456,0.7755291487997338,29.066122446484766,TimesFM D (+väder)
timesfm_wx,WX,Södermanlands län,6,42.0,152.04307556152344,197.33382364326084,0.9635382876616416,33.81431776039211,TimesFM D (+väder)
timesfm_wx,WX,Södra Norrland,1,47.0,1142.7732141373006,1717.172421941352,0.8842480574879111,18.761769204382055,TimesFM D (+väder)
timesfm_wx,WX,Södra Norrland,3,45.0,1591.1380533854167,2119.4341254959527,1.2311810563072134,26.492249926645183,TimesFM D (+väder)
timesfm_wx,WX,Södra Norrland,6,42.0,1553.3162086123511,2061.5141243022613,1.2019155009393971,25.617762427346456,TimesFM D (+väder)
timesfm_wx,WX,Uppsala län,1,47.0,117.57290389689993,153.9801031731249,0.7342084388142566,19.777411690527078,TimesFM D (+väder)
timesfm_wx,WX,Uppsala län,3,45.0,130.46589898003472,167.8350804300228,0.8147214267381507,22.390572167411356,TimesFM D (+väder)
timesfm_wx,WX,Uppsala län,6,42.0,137.34512547084265,170.03643448495475,0.8576801865770233,23.819804266388438,TimesFM D (+väder)
timesfm_wx,WX,Värmlands län,1,47.0,203.56117281000664,251.42865877646156,0.6060100510868922,14.80071031655397,TimesFM D (+väder)
timesfm_wx,WX,Värmlands län,3,45.0,246.77410753038194,303.6120848246615,0.7346567493545977,17.967819673599045,TimesFM D (+väder)
timesfm_wx,WX,Värmlands län,6,42.0,273.57017880394346,344.7072051388833,0.8144297644991674,19.518666930973637,TimesFM D (+väder)
timesfm_wx,WX,Västerbottens län,1,47.0,633.5230972614694,1020.1955769888468,0.7556375388506434,22.878961008234842,TimesFM D (+väder)
timesfm_wx,WX,Västerbottens län,3,45.0,699.5499972873264,1065.3130098125391,0.8343914224093424,26.201133394564085,TimesFM D (+väder)
timesfm_wx,WX,Västerbottens län,6,42.0,653.8953014555432,977.7988194291294,0.7799365775198196,25.434032247508835,TimesFM D (+väder)
timesfm_wx,WX,Västernorrlands län,1,47.0,405.82215134640956,582.1378836544123,0.7065899465690304,22.013375819786955,TimesFM D (+väder)
timesfm_wx,WX,Västernorrlands län,3,45.0,459.36405164930557,631.0415490574206,0.7998134641831148,25.273807952626342,TimesFM D (+väder)
timesfm_wx,WX,Västernorrlands län,6,42.0,441.4906005859375,615.6871003393868,0.7686934260334743,23.579110133181636,TimesFM D (+väder)
timesfm_wx,WX,Västmanlands län,1,47.0,67.07204096368018,84.64496413408541,0.3250486337532895,20.128518871672345,TimesFM D (+väder)
timesfm_wx,WX,Västmanlands län,3,45.0,77.71765916612414,100.98662955886358,0.3766400808368418,23.04413180802997,TimesFM D (+väder)
